"id_reporte";"sensor_id";"nombre_sensor";"tipo_reporte";"anomalylevel";"vibrationpercentage";"goodvibration";"nbalarmreport";"temperature";"reportid";"vibrationlevel";"peakfrequencyindex";"batterypercentage";"operatingtime";"learningpercentage";"learningfromscratch";"fft";"reportlength";"rssi";"badvibrationpercentage1020";"badvibrationpercentage2040";"badvibrationpercentage4060";"badvibrationpercentage6080";"badvibrationpercentage80100";"anomalylevelto20last24h";"anomalylevelto50last24h";"anomalylevelto80last24h";"anomalylevelto20last30d";"anomalylevelto50last30d";"anomalylevelto80last30d";"anomalylevelto20last6mo";"anomalylevelto50last6mo";"anomalylevelto80last6mo";"totaloperatingtimeknown";"totalunknown1020";"totalunknown2040";"totalunknown4060";"totalunknown6080";"totalunknown80100";"state";"created_at";"updated_at";"deleted_at"
45;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-67";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 06:11:32";"";""
46;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-71";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 09:11:59";"";""
47;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-70";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 12:12:20";"";""
48;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-70";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 15:12:41";"";""
49;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-76";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 18:13:02";"";""
50;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-73";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-14 21:13:22";"";""
51;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-81";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 00:13:43";"";""
52;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-79";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 03:14:04";"";""
53;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-78";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 06:14:24";"";""
54;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-81";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 09:14:44";"";""
55;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-79";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 12:05:04";"";""
56;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-78";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 15:05:25";"";""
57;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-82";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 18:05:45";"";""
58;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-85";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-15 21:06:06";"";""
59;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-85";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 00:06:26";"";""
60;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-97";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 03:06:47";"";""
61;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-91";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 06:07:07";"";""
62;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-87";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 09:07:28";"";""
63;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-84";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 12:07:48";"";""
64;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-84";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 15:08:08";"";""
65;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-87";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 18:08:29";"";""
66;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-83";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-16 21:08:50";"";""
67;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-78";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-17 00:09:10";"";""
68;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-77";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-17 03:09:30";"";""
69;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-88";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-17 06:09:50";"";""
70;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"-74";"127";"0";"0";"0";"0";"255";"255";"255";"255";"255";"255";"255";"255";"255";"135";"45";"0";"0";"0";"0";1;"2024-06-17 09:10:11";"";""
